id,season,year,name,full_name,status,category,prize,country
1279,1985-1986,1985,WPBSA Pro Ticket Series 86/87 - Event 2,1985 WPBSA Pro Ticket Series 86/87 - Event 2,Professional,Tour Qualifier,20000.0,England
711,1984-1985,1985,Pontins Professional,1985 Pontins Professional,Professional,Non-ranking,0.0,Wales
710,1984-1985,1985,Welsh Professional Championship,1985 Welsh Professional Championship,Professional,Non-ranking,15000.0,Wales
2047,1984-1985,1985,Irish Amateur Championship,1985 Irish Amateur Championship,Amateur,National Championship,0.0,Ireland
2046,1984-1985,1985,Isle of Man Amateur Championship,1985 Isle of Man Amateur Championship,Amateur,National Championship,0.0,Isle of Man
1275,1985-1986,1985,WPBSA Pro Ticket Series 86/87 - Event 1,1985 WPBSA Pro Ticket Series 86/87 - Event 1,Professional,Tour Qualifier,19925.0,England
699,1984-1985,1985,World Championship,1985 World Championship,Professional,Ranking,300600.0,England
703,1984-1985,1985,Irish Professional Championship,1985 Irish Professional Championship,Professional,Non-ranking,19600.0,Northern Ireland
1538,1984-1985,1985,Malta Amateur Championship,1985 Malta Amateur Championship,Amateur,National Championship,0.0,Malta
700,1984-1985,1985,Irish Masters,1985 Irish Masters,Professional,Invitational,69025.0,Ireland
702,1984-1985,1985,British Open,1985 British Open,Professional,Ranking,244000.0,England
720,1984-1985,1985,English Professional Championship,1985 English Professional Championship,Professional,Non-ranking,75000.0,England
704,1984-1985,1985,Scottish Professional Championship,1985 Scottish Professional Championship,Professional,Non-ranking,10000.0,Scotland
705,1984-1985,1985,Masters,1985 Masters,Professional,Invitational,146252.0,England
712,1984-1985,1985,Classic,1985 Classic,Professional,Ranking,196000.0,England
1411,1984-1985,1985,Belgian Amateur Championship,1985 Belgian Amateur Championship,Amateur,National Championship,0.0,Belgium
1448,1984-1985,1985,Canadian Championship,1985 Canadian Championship,Pro-am,National Championship,0.0,Canada
1885,1984-1985,1985,English Amateur Championship,1985 English Amateur Championship,Amateur,National Championship,0.0,England
1770,1984-1985,1985,Scottish Amateur Championship,1985 Scottish Amateur Championship,Amateur,National Championship,0.0,Scotland
1809,1984-1985,1985,Swedish Amateur Championship,1985 Swedish Amateur Championship,Amateur,National Championship,0.0,Sweden
1709,1984-1985,1985,Welsh Amateur Championship,1985 Welsh Amateur Championship,Amateur,National Championship,0.0,Wales
722,1985-1986,1985,Pot Black,1985 Pot Black,Professional,Invitational,0.0,England
651,1986-1987,1986,Pot Black,1986 Pot Black,Professional,Invitational,0.0,England
639,1986-1987,1986,UK Championship,1986 UK Championship,Professional,Ranking,299980.0,England
1137,1986-1987,1986,World Amateur Championship - Men,1986 World Amateur Championship - Men,Amateur,World Event,0.0,New Zealand
663,1986-1987,1986,Canadian Masters,1986 Canadian Masters,Professional,Invitational,62497.0,Canada
641,1986-1987,1986,Grand Prix,1986 Grand Prix,Professional,Ranking,278595.0,England
2305,1985-1986,1986,Womens World Championship,1986 Womens World Championship,Amateur,World Event,0.0,England
1277,1986-1987,1986,WPBSA Pro Ticket Series 88/89 - Event 1,1986 WPBSA Pro Ticket Series 88/89 - Event 1,Professional,Tour Qualifier,11575.0,Wales
642,1986-1987,1986,International Open,1986 International Open,Professional,Ranking,172732.0,England
643,1986-1987,1986,Scottish Masters,1986 Scottish Masters,Professional,Invitational,40000.0,Scotland
821,1986-1987,1986,Matchroom Trophy,1986 Matchroom Trophy,Professional,Invitational,100000.0,England
835,1986-1987,1986,Carlsberg Challenge,1986 Carlsberg Challenge,Professional,Invitational,31000.0,Ireland
674,1986-1987,1986,Hong Kong Masters,1986 Hong Kong Masters,Professional,Invitational,86800.0,Hong Kong
750,1986-1987,1986,Malaysian Masters,1986 Malaysian Masters,Professional,Invitational,0.0,Malaysia
781,1986-1987,1986,China Masters,1986 China Masters,Professional,Invitational,0.0,China
645,1986-1987,1986,Australian Professional Championship,1986 Australian Professional Championship,Professional,Non-ranking,12268.0,Australia
646,1986-1987,1986,Canadian Professional Championship,1986 Canadian Professional Championship,Professional,Non-ranking,12900.0,Canada
647,1986-1987,1986,South African Professional Championship,1986 South African Professional Championship,Professional,Non-ranking,19650.0,South Africa
664,1986-1987,1986,Thailand Masters,1986 Thailand Masters,Professional,Invitational,0.0,Thailand
1037,1986-1987,1986,Australian Masters,1986 Australian Masters,Professional,Invitational,16000.0,Australia
1391,1986-1987,1986,Asian Championship,1986 Asian Championship,Amateur,Continental Event,0.0,Sri Lanka
696,1985-1986,1986,Pontins Professional,1986 Pontins Professional,Professional,Non-ranking,0.0,Wales
2562,1985-1986,1986,Pontins Spring Open,1986 Pontins Spring Open,Pro-am,Event,0.0,Wales
2043,1985-1986,1986,Scottish Amateur Championship,1986 Scottish Amateur Championship,Amateur,National Championship,0.0,Scotland
1286,1985-1986,1986,WPBSA Pro Ticket Series 87/88- Event 4,1986 WPBSA Pro Ticket Series 87/88- Event 4,Professional,Tour Qualifier,11700.0,England
1283,1985-1986,1986,WPBSA Pro Ticket Series 87/88 - Event 3,1986 WPBSA Pro Ticket Series 87/88 - Event 3,Professional,Tour Qualifier,12100.0,Wales
682,1985-1986,1986,Irish Professional Championship,1986 Irish Professional Championship,Professional,Non-ranking,21100.0,Northern Ireland
2044,1985-1986,1986,Northern Ireland Amateur Championship,1986 Northern Ireland Amateur Championship,Amateur,National Championship,0.0,Northern Ireland
649,1985-1986,1986,World Championship,1986 World Championship,Professional,Ranking,349982.0,England
650,1985-1986,1986,Irish Masters,1986 Irish Masters,Professional,Invitational,77583.0,Ireland
2041,1985-1986,1986,Irish Amateur Championship,1986 Irish Amateur Championship,Amateur,National Championship,0.0,Ireland
679,1985-1986,1986,Scottish Professional Championship,1986 Scottish Professional Championship,Professional,Non-ranking,14000.0,Scotland
680,1985-1986,1986,British Open,1986 British Open,Professional,Ranking,274995.0,England
686,1985-1986,1986,Welsh Professional Championship,1986 Welsh Professional Championship,Professional,Non-ranking,15000.0,Wales
683,1985-1986,1986,English Professional Championship,1986 English Professional Championship,Professional,Non-ranking,80000.0,England
685,1985-1986,1986,Masters,1986 Masters,Professional,Invitational,175000.0,England
695,1985-1986,1986,Belgian Classic,1986 Belgian Classic,Professional,Invitational,40000.0,Belgium
687,1985-1986,1986,Classic,1986 Classic,Professional,Ranking,224977.0,England
2030,1985-1986,1986,Australian Amateur Championship,1986 Australian Amateur Championship,Amateur,National Championship,0.0,Australia
1412,1985-1986,1986,Belgian Amateur Championship,1986 Belgian Amateur Championship,Amateur,National Championship,0.0,Belgium
2491,1985-1986,1986,Canadian Championship,1986 Canadian Championship,Amateur,National Championship,0.0,Canada
1886,1985-1986,1986,English Amateur Championship,1986 English Amateur Championship,Amateur,National Championship,0.0,England
1808,1985-1986,1986,Swedish Amateur Championship,1986 Swedish Amateur Championship,Amateur,National Championship,0.0,Sweden
2142,1985-1986,1986,Watney's Open,1986 Watney's Open,Pro-am,Event,0.0,England
1710,1985-1986,1986,Welsh Amateur Championship,1986 Welsh Amateur Championship,Amateur,National Championship,0.0,Wales
618,1987-1988,1987,UK Championship,1987 UK Championship,Professional,Ranking,354998.0,England
1136,1987-1988,1987,World Amateur Championship - Men,1987 World Amateur Championship - Men,Amateur,World Event,0.0,India
670,1987-1988,1987,Canadian Masters,1987 Canadian Masters,Professional,Invitational,75000.0,Canada
619,1987-1988,1987,Grand Prix,1987 Grand Prix,Professional,Ranking,300012.0,England
2304,1987-1988,1987,Womens World Championship,1987 Womens World Championship,Amateur,World Event,0.0,England
1043,1987-1988,1987,Matchroom Trophy,1987 Matchroom Trophy,Professional,Invitational,125000.0,England
620,1987-1988,1987,International Open,1987 International Open,Professional,Ranking,199992.0,England
836,1987-1988,1987,Carling Championships,1987 Carling Championships,Professional,Invitational,32650.0,Ireland
1287,1987-1988,1987,WPBSA Pro Ticket Series 88/89 - Event 4,1987 WPBSA Pro Ticket Series 88/89 - Event 4,Professional,Tour Qualifier,14900.0,Wales
623,1987-1988,1987,Scottish Masters,1987 Scottish Masters,Professional,Invitational,52000.0,Scotland
669,1987-1988,1987,Hong Kong Masters,1987 Hong Kong Masters,Professional,Invitational,75000.0,Hong Kong
668,1987-1988,1987,Tokyo Masters,1987 Tokyo Masters,Professional,Invitational,100000.0,Japan
624,1987-1988,1987,Australian Professional Championship,1987 Australian Professional Championship,Professional,Non-ranking,9107.0,Australia
625,1987-1988,1987,Canadian Professional Championship,1987 Canadian Professional Championship,Professional,Non-ranking,13600.0,Canada
1197,1987-1988,1987,World Under-21 Championship - Men,1987 World Under-21 Championship - Men,Amateur,World Event,0.0,England
2064,1987-1988,1987,Australian Masters,1987 Australian Masters,Professional,Invitational,88883.0,Australia
2040,1987-1988,1987,Scottish Amateur Championship,1987 Scottish Amateur Championship,Amateur,National Championship,0.0,Scotland
1254,1987-1988,1987,Asian Championship,1987 Asian Championship,Amateur,Continental Event,0.0,Malaysia
648,1986-1987,1987,Pontins Professional,1987 Pontins Professional,Professional,Non-ranking,5000.0,Wales
2563,1986-1987,1987,Pontins Spring Open,1987 Pontins Spring Open,Pro-am,Event,0.0,Wales
1284,1986-1987,1987,WPBSA Pro Ticket Series 88/89 - Event 3,1987 WPBSA Pro Ticket Series 88/89 - Event 3,Professional,Tour Qualifier,11700.0,England
1281,1986-1987,1987,WPBSA Pro Ticket Series 88/89 - Event 2,1987 WPBSA Pro Ticket Series 88/89 - Event 2,Professional,Tour Qualifier,11700.0,England
629,1986-1987,1987,World Championship,1987 World Championship,Professional,Ranking,400000.0,England
631,1986-1987,1987,Irish Masters,1987 Irish Masters,Professional,Invitational,90000.0,Ireland
989,1986-1987,1987,Kent Cup,1987 Kent Cup,Professional,Invitational,30000.0,China
3270,1986-1987,1987,Professional Play-offs,1987 Professional Play-offs,Professional,Tour Qualifier,0.0,England
633,1986-1987,1987,British Open,1987 British Open,Professional,Ranking,300812.0,England
637,1986-1987,1987,Welsh Professional Championship,1987 Welsh Professional Championship,Professional,Non-ranking,20000.0,Wales
635,1986-1987,1987,English Professional Championship,1987 English Professional Championship,Professional,Non-ranking,86000.0,England
2042,1986-1987,1987,Irish Amateur Championship,1987 Irish Amateur Championship,Amateur,National Championship,0.0,Ireland
634,1986-1987,1987,Irish Professional Championship,1987 Irish Professional Championship,Professional,Non-ranking,23000.0,Northern Ireland
632,1986-1987,1987,Scottish Professional Championship,1987 Scottish Professional Championship,Professional,Non-ranking,11000.0,Scotland
636,1986-1987,1987,Masters,1987 Masters,Professional,Invitational,200000.0,England
638,1986-1987,1987,Classic,1987 Classic,Professional,Ranking,249837.0,England
2029,1986-1987,1987,Australian Amateur Championship,1987 Australian Amateur Championship,Amateur,National Championship,0.0,Australia
1413,1986-1987,1987,Belgian Amateur Championship,1987 Belgian Amateur Championship,Amateur,National Championship,0.0,Belgium
1449,1986-1987,1987,Canadian Championship,1987 Canadian Championship,Pro-am,National Championship,0.0,Canada
1567,1986-1987,1987,Dutch Amateur Championship,1987 Dutch Amateur Championship,Amateur,National Championship,0.0,Netherlands
1887,1986-1987,1987,English Amateur Championship,1987 English Amateur Championship,Amateur,National Championship,0.0,England
1539,1986-1987,1987,Malta Amateur Championship,1987 Malta Amateur Championship,Amateur,National Championship,0.0,Malta
1760,1986-1987,1987,Northern Ireland Amateur Championship,1987 Northern Ireland Amateur Championship,Amateur,National Championship,0.0,Northern Ireland
